,City,Cloudiness,Country,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
139,Vila Velha,0,BR,1567277689,54,-3.71,-38.6,86.0,17.22
140,Lufilufi,72,WS,1567277689,80,-13.87,-171.6,79.76,22.84
141,Homer,90,US,1567277690,93,59.64,-151.54,55.4,4.7
142,Galveston,90,US,1567277690,64,40.58,-86.19,73.4,9.17
143,Kruisfontein,0,ZA,1567277690,73,-34.0,24.73,52.04,15.1
144,Camacha,40,PT,1567277691,64,33.08,-16.33,73.4,11.41
145,Hobyo,26,SO,1567277691,82,5.35,48.53,76.88,26.02
146,Salalah,75,OM,1567277691,88,17.01,54.1,80.6,3.36
147,Gilbues,0,BR,1567277692,16,-9.83,-45.34,97.04,6.93
148,Iwaki,83,JP,1567277692,90,37.05,140.89,66.0,4.25
149,Itamaraca,40,BR,1567277692,69,-7.75,-34.83,82.4,13.87
150,Bereda,20,ES,1567277693,77,43.27,-7.54,66.99,8.05
151,Tiwi,100,PH,1567277693,96,13.46,123.68,72.56,1.9
152,Saskylakh,12,RU,1567277693,82,71.97,114.09,35.3,1.83
153,Castro,75,CL,1567277695,62,-42.48,-73.76,51.8,8.05
154,Sistranda,0,NO,1567277695,87,63.73,8.83,64.0,2.24
155,Oktyabrskiy,2,RU,1567277695,77,55.61,37.97,68.0,3.11
156,San Vicente,20,EC,1567277696,74,-0.59,-80.41,78.8,8.05
157,Buluang,75,PH,1567277696,83,10.47,123.98,80.6,7.83
158,Hamilton,75,CA,1567277404,52,43.26,-79.87,73.0,3.36
159,Ludvika,81,SE,1567277464,68,60.15,15.18,66.2,3.36
160,Seoul,75,KR,1567277697,106,37.57,126.98,69.8,2.24
161,Hami,97,CN,1567277697,9,42.84,93.51,86.06,15.57
162,Dingle,100,PH,1567277698,93,11.0,122.67,72.92,2.28
163,College,20,US,1567277698,66,64.86,-147.8,57.99,3.36
164,Saint George,20,GR,1567277698,57,39.45,22.34,78.01,9.17
165,Igatpuri,96,IN,1567277699,96,19.7,73.57,73.28,7.58
166,Gat,40,SN,1567277699,83,14.69,-16.54,87.8,10.29
167,Zaysan,80,KZ,1567277699,61,47.47,84.87,65.36,7.7
168,Clyde River,40,CA,1567277700,93,70.47,-68.59,44.6,13.87
169,Mackay,75,CA,1567277701,76,53.65,-115.58,55.4,8.05
170,Old Town,1,US,1567277701,40,38.98,-76.93,90.0,5.82
171,Ribeira Grande,20,PT,1567277702,83,38.52,-28.7,77.0,4.7
172,Sayyan,16,YE,1567277703,59,15.17,44.32,75.98,2.64
173,Mahebourg,75,MU,1567277703,68,-20.41,57.7,73.0,16.11
174,Guerrero Negro,0,MX,1567277703,86,27.97,-114.04,68.6,11.65
175,Nkowakowa,0,ZA,1567277704,18,-23.89,30.29,51.8,9.17
176,Maibong,98,IN,1567277704,94,25.3,93.13,76.34,1.45
177,Pahrump,1,US,1567277705,7,36.21,-115.98,100.99,7.56
178,Almaznyy,0,RU,1567277705,35,48.03,40.04,73.4,4.47
179,Lenggries,9,DE,1567277706,82,47.68,11.58,77.0,4.7
180,Airai,100,TL,1567277706,75,-8.93,125.41,65.0,5.68
181,Conceicao do Araguaia,54,BR,1567277706,15,-8.26,-49.26,104.06,5.17
182,Preeceville,53,CA,1567277707,65,51.95,-102.67,61.4,4.97
183,Moranbah,0,AU,1567277707,91,-22.0,148.04,56.54,5.64
184,Naze,98,NG,1567277708,91,5.43,7.07,75.8,5.37
185,Berlevag,76,NO,1567277708,90,70.86,29.09,52.4,15.75
186,Deputatskiy,63,RU,1567277708,74,69.3,139.9,30.44,2.01
187,Nara,40,JP,1567277709,94,34.68,135.8,75.99,1.12
188,Severo-Kurilsk,100,RU,1567277709,90,50.68,156.12,49.52,11.21
189,Sadiqabad,52,PK,1567277710,43,28.31,70.13,94.88,6.82
190,Meiktila,100,MM,1567277710,91,20.88,95.86,75.26,16.75
191,Coquimbo,20,CL,1567277710,71,-29.95,-71.34,57.2,12.75
192,Miri,53,NG,1567277711,73,10.31,9.75,76.34,2.95
193,Waingapu,99,ID,1567277711,87,-9.65,120.26,65.54,8.57
194,Tuatapere,66,NZ,1567277711,93,-46.13,167.69,39.0,1.01
195,Sur,23,OM,1567277712,53,22.57,59.53,83.54,7.27
196,Lavrentiya,100,RU,1567277712,93,65.58,-170.99,44.84,5.35
197,Baker City,1,US,1567277714,47,44.77,-117.83,82.0,3.36
198,Camalu,0,MX,1567277716,94,30.85,-116.07,68.24,11.48
199,Manta,0,RO,1567277717,47,45.1,24.1,70.76,3.31
200,Coahuayana,54,MX,1567277717,69,18.62,-100.35,83.36,3.04
201,Gaoua,17,BF,1567277717,76,10.33,-3.18,80.66,4.68
202,Jiwani,34,PK,1567277718,74,25.05,61.74,84.62,7.27
203,Chokurdakh,85,RU,1567277719,74,70.62,147.9,32.06,4.29
204,Agua Prieta,1,MX,1567277719,51,31.32,-109.55,88.0,5.82
205,Foki,80,RU,1567277719,71,56.69,54.35,45.2,3.78
206,Raudeberg,100,NO,1567277720,68,61.99,5.14,64.99,26.4
207,Balkanabat,69,TM,1567277720,22,39.51,54.36,76.7,1.9
208,Esna,5,RO,1567277721,29,45.2,27.57,75.2,4.7
209,Port Elizabeth,40,US,1567277721,48,39.31,-74.98,87.01,3.36
210,Emerald,0,AU,1567277722,71,-23.53,148.16,55.4,3.36
211,Srednekolymsk,87,RU,1567277722,82,67.46,153.71,30.26,1.14
212,Kudahuvadhoo,91,MV,1567277723,72,2.67,72.89,82.82,8.68
213,Izhma,9,RU,1567277723,91,65.01,53.91,41.6,4.47
214,Arman,99,RU,1567277723,96,59.7,150.17,48.08,1.74
215,Maningrida,45,AU,1567277724,77,-12.05,134.23,58.16,5.41
216,Podporozhye,61,RU,1567277724,97,60.91,34.16,57.8,4.65
217,Finnsnes,63,NO,1567277567,87,69.23,17.98,55.4,9.17
218,Souillac,0,FR,1567277725,56,45.6,-0.6,73.0,12.75
219,Novosil,83,RU,1567277725,82,52.97,37.04,56.0,3.27
220,Ponta Delgada,20,PT,1567277726,69,37.73,-25.67,77.0,9.17
221,Blagoyevo,75,RU,1567277726,77,63.37,47.92,45.2,2.3
222,Flin Flon,40,CA,1567277726,42,54.77,-101.88,68.0,9.17
223,Hobart,40,AU,1567277638,71,-42.88,147.33,53.01,8.05
224,Fiumicino,0,IT,1567277646,61,41.77,12.23,81.0,2.24
225,Meadow Lake,75,CA,1567277727,59,54.13,-108.44,60.8,6.93
226,Kaitangata,6,NZ,1567277727,76,-46.28,169.85,44.01,3.0
227,Cherskiy,97,RU,1567277728,97,68.75,161.3,32.42,3.51
228,Klaksvik,100,FO,1567277728,87,62.23,-6.59,48.2,25.28
229,Nouadhibou,21,MR,1567277729,62,20.93,-17.03,84.2,12.75
230,Poronaysk,99,RU,1567277729,97,49.22,143.1,55.82,2.57
231,San Patricio,98,PY,1567277729,76,-26.98,-56.83,62.66,10.04
232,Yulara,0,AU,1567277730,24,-25.24,130.99,48.2,7.9
233,Banka,100,IN,1567277730,69,24.88,86.92,85.16,4.16
234,Hasaki,75,JP,1567277730,94,35.73,140.83,75.2,1.12
235,Cabo San Lucas,5,MX,1567277529,74,22.89,-109.91,89.6,10.29
236,Hambantota,75,LK,1567277731,100,6.12,81.12,78.8,5.82
237,Ilhabela,0,BR,1567277694,55,-23.78,-45.36,80.84,10.94
238,Margate,40,AU,1567277731,71,-43.03,147.26,53.01,8.05
239,Okhotsk,63,RU,1567277731,93,59.36,143.24,46.82,5.97
240,Ixtapa,5,MX,1567277731,66,20.71,-105.21,88.0,8.05
241,Fort Frances,77,CA,1567277732,45,48.61,-93.4,72.0,1.01
242,Pauini,20,BR,1567277732,30,-7.71,-67.0,99.02,2.39
243,Coihaique,20,CL,1567277732,42,-45.58,-72.07,48.2,12.75
244,Auka,40,HN,1567277733,66,14.93,-83.83,89.6,3.85
245,Mayumba,85,GA,1567277733,89,-3.44,10.65,72.74,11.77
246,Athabasca,91,CA,1567277733,58,54.72,-113.29,62.66,1.72
247,Amapa,40,HN,1567277734,44,15.09,-87.97,95.0,9.17
248,Geraldton,40,CA,1567277444,48,49.72,-86.95,66.2,6.93
249,Saint-Joseph,0,FR,1567277734,61,43.56,6.97,80.6,3.49
250,Solnechnyy,21,RU,1567277734,97,50.72,136.64,48.08,4.03
251,Roald,0,NO,1567277735,87,62.58,6.12,61.0,5.82
252,Port Hardy,90,CA,1567277735,100,50.7,-127.42,59.0,3.36
253,Caravelas,47,BR,1567277735,67,-17.73,-39.27,77.24,10.22
254,Solikamsk,44,RU,1567277736,90,59.65,56.78,41.24,5.95
255,Grand-Santi,0,GF,1567277736,35,4.27,-54.38,95.06,4.94
256,Alice Springs,0,AU,1567277736,19,-23.7,133.88,48.2,5.82
257,Primo Tapia,5,MX,1567277737,65,32.22,-116.92,91.0,6.93
258,Chingirlau,88,KZ,1567277737,72,51.09,54.08,53.48,10.31
259,Maralal,58,KE,1567277738,69,1.1,36.7,68.24,3.38
260,Sao Filipe,96,CV,1567277738,82,14.9,-24.5,77.96,5.14
261,Shimoda,85,JP,1567277738,72,34.7,138.93,79.0,1.01
262,Seabra,0,BR,1567277523,26,-12.42,-41.77,81.38,11.86
263,Umm Lajj,4,SA,1567277739,73,25.02,37.27,85.16,11.92
264,Hay River,75,CA,1567277739,50,60.82,-115.79,51.8,5.82
265,Marystown,18,CA,1567277739,75,47.17,-55.16,66.98,13.82
266,Bulanash,100,RU,1567277740,92,57.28,62.0,43.4,7.9
267,Comodoro Rivadavia,40,AR,1567277741,49,-45.87,-67.48,48.2,13.87
268,Santa Maria do Suacui,14,BR,1567277741,41,-18.19,-42.41,81.02,6.26
269,Bay Roberts,40,CA,1567277571,73,47.58,-53.28,77.0,19.46
270,Troitsko-Pechorsk,94,RU,1567277741,80,62.71,56.19,45.92,7.29
271,Yuryevets,60,RU,1567277742,93,57.32,43.11,54.2,2.84
272,Fort Saint James,16,CA,1567277742,41,54.43,-124.25,65.72,2.17
273,Aswan,0,EG,1567277743,13,24.09,32.9,91.82,13.96
274,Port Macquarie,17,AU,1567277743,100,-31.43,152.91,53.6,3.02
275,Isabela,100,PH,1567277743,90,10.2,122.99,76.52,3.78
276,Bilma,1,NE,1567277744,11,18.69,12.92,100.28,5.93
277,Pyay,100,MM,1567277744,98,18.82,95.22,75.08,3.47
278,Yeppoon,4,AU,1567277744,87,-23.13,150.74,60.8,5.82
279,La Huacana,40,MX,1567277745,78,18.96,-101.8,71.6,9.17
280,Areosa,0,PT,1567277745,82,41.72,-8.86,73.99,6.93
281,Longyearbyen,75,NO,1567277745,87,78.22,15.63,44.6,6.93
282,Mwene-Ditu,98,CD,1567277746,60,-7.01,23.45,75.98,1.45
283,Fort Nelson,90,CA,1567277746,93,58.81,-122.69,50.0,3.36
284,Pionerskiy,98,RU,1567277746,90,61.2,62.86,44.66,10.54
285,Saldanha,0,PT,1567277746,22,41.42,-6.55,85.52,12.71
286,Tabou,93,CI,1567277747,85,4.42,-7.36,77.06,7.29
287,Takab,17,IR,1567277747,34,36.4,47.11,54.92,0.58
288,Atherton,0,AU,1567277723,82,-17.27,145.48,64.4,5.82
289,Coruripe,0,BR,1567277747,65,-10.12,-36.18,78.68,10.87
290,Kahului,40,US,1567277521,78,20.89,-156.47,80.6,14.99
291,Karratha,86,AU,1567277748,55,-20.74,116.85,68.06,8.23
292,Visby,16,SE,1567277749,82,57.64,18.3,68.0,11.41
293,Clarence Town,75,AU,1567277749,100,-32.59,151.78,55.99,8.05
294,Surenavan,19,AM,1567277749,37,39.75,44.8,71.6,11.41
295,Chala,0,TZ,1567277750,45,-7.6,31.27,66.2,0.13
296,Dwarka,40,IN,1567277750,74,28.58,77.04,93.99,5.35
297,Palana,0,RU,1567277751,69,59.08,159.95,48.26,4.16
298,Maniitsoq,1,GL,1567277680,67,65.42,-52.9,46.64,1.74
299,Zhangjiakou,14,CN,1567277751,48,40.77,114.88,54.38,4.27
300,Narsaq,40,GL,1567277751,47,60.91,-46.05,55.4,9.17
301,Nurota,65,UZ,1567277752,22,40.56,65.69,68.0,6.93
302,Abu Kamal,0,SY,1567277752,21,34.45,40.92,88.22,9.24
303,Ukiah,1,US,1567277753,32,39.15,-123.21,89.01,5.64
304,Birao,44,CF,1567277753,69,10.3,22.78,80.12,3.89
305,Razvilnoye,0,RU,1567277753,42,46.24,41.3,70.4,11.59
306,Sainte-Marie,75,CA,1567277754,68,46.45,-71.03,69.01,16.11
307,Mount Gambier,90,AU,1567277754,93,-37.83,140.78,50.0,8.05
308,Mora,0,PT,1567277754,75,38.94,-8.17,72.0,12.03
309,Touros,20,BR,1567277755,58,-5.2,-35.46,84.2,17.22
310,Naryan-Mar,0,RU,1567277755,93,67.67,53.09,37.46,5.39
311,Saint Anthony,1,US,1567277756,29,43.97,-111.68,79.0,4.7
312,Schwechat,0,AT,1567277663,61,48.14,16.48,84.2,8.05
313,Ancud,75,CL,1567277756,62,-41.87,-73.83,51.8,8.05
314,Pascagoula,40,US,1567277458,49,30.37,-88.56,93.2,8.05
315,Ayagoz,0,KZ,1567277757,35,47.96,80.43,59.24,13.67
316,Kushiro,0,JP,1567277757,95,43.11,144.15,60.68,4.72
317,Carballo,20,ES,1567277757,77,43.21,-8.69,72.0,8.05
318,Georgetown,75,GY,1567277746,88,6.8,-58.16,86.0,4.7
319,My Tho,40,VN,1567277757,94,10.36,106.37,80.6,4.7
320,Port Keats,69,AU,1567277758,23,-14.25,129.55,67.16,8.68
321,Morro Bay,90,US,1567277758,88,35.37,-120.85,91.0,6.93
322,Sauda,100,NO,1567277758,60,59.65,6.35,66.99,18.01
323,Sena Madureira,19,BR,1567277759,26,-9.07,-68.66,101.72,2.91
324,Fortuna,0,ES,1567277759,65,38.18,-1.13,86.0,4.7
325,Liepaja,53,LV,1567277707,87,56.52,21.02,60.8,4.45
326,Turan,17,RU,1567277760,85,52.15,93.92,54.2,3.38
327,Boueni,0,YT,1567277760,88,-12.9,45.08,75.2,3.36
328,North Myrtle Beach,75,US,1567277761,65,33.83,-78.68,87.01,4.7
329,Bobrovytsya,0,UA,1567277761,64,50.75,31.38,72.0,8.95
330,Varhaug,75,NO,1567277762,72,58.61,5.65,64.99,19.46
331,Lazaro Cardenas,75,MX,1567277762,39,28.39,-105.62,84.99,9.17
332,Tabira,7,BR,1567277763,24,-7.58,-37.54,92.54,9.53
333,Jalu,0,LY,1567277763,24,29.03,21.55,84.08,4.68
334,Kavaratti,100,IN,1567277764,80,10.57,72.64,82.28,16.46
335,Faya,0,SA,1567277764,33,18.39,42.45,78.8,9.17
336,Aloleng,100,PH,1567277764,90,16.13,119.78,78.68,18.01
337,Mumford,87,GH,1567277765,87,5.26,-0.76,76.16,9.26
338,Iquique,0,CL,1567277702,52,-20.22,-70.14,66.2,13.87
339,Capalnita,29,RO,1567277765,54,46.37,25.52,66.0,4.45
340,Matara,71,BI,1567277765,81,-3.48,29.48,56.18,2.71
341,Gravdal,75,NO,1567277766,72,59.79,5.78,66.99,24.16
342,Dax,90,FR,1567277766,68,43.71,-1.05,73.4,5.82
343,Fairlie,90,US,1567277766,83,33.31,-95.96,87.01,4.88
344,Batagay-Alyta,1,RU,1567277767,82,67.8,130.41,34.76,1.9
345,Avera,90,US,1567277767,58,33.19,-82.53,91.4,8.05
346,Gravelbourg,25,CA,1567277767,62,49.88,-106.56,66.08,4.85
347,Isla Vista,1,US,1567277665,47,34.41,-119.86,89.01,4.7
348,Great Yarmouth,40,GB,1567277494,68,52.61,1.73,68.0,12.75
349,Vilhena,40,BR,1567277768,36,-12.74,-60.15,91.4,5.82
350,Nemchinovka,0,RU,1567277768,59,55.72,37.37,68.0,3.24
351,Porto Real do Colegio,4,BR,1567277768,51,-10.19,-36.84,82.28,13.49
352,Cabedelo,20,BR,1567277769,65,-6.97,-34.84,82.4,16.11
353,Charagua,90,BO,1567277769,34,-19.79,-63.2,68.0,4.7
354,Buzovna,90,AZ,1567277769,77,40.52,50.11,66.2,3.36
355,Pisco,0,PE,1567277648,30,-13.71,-76.2,71.6,5.82
356,Aviles,75,ES,1567277770,88,43.55,-5.92,71.01,2.08
357,Middelburg,94,NL,1567277770,82,51.5,3.61,71.6,31.09
358,Kampot,40,KH,1567277771,83,10.62,104.18,82.4,1.12
359,Muros,20,ES,1567277771,77,42.77,-9.06,72.0,8.05
360,Itarema,52,BR,1567277771,45,-2.92,-39.92,87.68,16.08
361,Olavarria,0,AR,1567277772,34,-36.89,-60.32,58.7,8.84
362,Baruun-Urt,21,MN,1567277772,56,46.68,113.28,58.52,3.18
363,Eregli,0,TR,1567277772,31,37.51,34.05,72.2,4.5
364,Saint-Pierre,0,FR,1567277773,50,48.95,4.24,84.2,9.17
365,Sobolevo,94,RU,1567277773,91,54.43,31.9,59.06,4.72
366,Yining,100,CN,1567277773,73,29.04,114.56,67.34,0.63
367,Monrovia,75,LR,1567277774,94,6.33,-10.8,77.0,10.07
368,Praya,20,ID,1567277774,88,-8.71,116.27,71.6,2.24
369,Pangnirtung,90,CA,1567277774,93,66.15,-65.72,44.6,5.82
370,Saint Andrews,0,NZ,1567277775,54,-44.53,171.19,45.0,4.59
371,Marzuq,82,YE,1567277775,39,14.4,46.47,84.8,5.77
372,Yerofey Pavlovich,55,RU,1567277776,94,53.97,121.97,44.84,4.38
373,Punta Alta,75,AR,1567277776,77,-27.46,-55.82,68.0,4.7
